band,day,rating,link
Hermitude,Thurdsay,9,
Marian Hill,Thurdsay,9,
Allen Stone,Friday,10,
Misterwives,Friday,10,
Kamasi Washington,Friday,9,
Chvrches,Friday,7,
Halsey,Friday,10,
J Cole,Friday,10,
M83,Friday,9,
The Chainsmokers,Friday,5,
Tame Impala,Friday,8,
Judah & The Lion,Saturday,4,
Two Door Cinema Club,Saturday,10,
Oh Wonder,Saturday,10,
Haim,Saturday,8,
Ellie Goulding,Saturday,10,
Pearl Jam,Saturday,7,
Superjam,Saturday,10,
Big Grams,Saturday,7,
Givers,Sunday,9,
Lettuce,Sunday,8,
Death Cab for Cutie,Sunday,7,
Third Eye Blind,Sunday,8,
The Bluegrass Situation,Sunday,7,
Dead & Company,Sunday,8,
