spotifyuri,artist,album,rating,release,link,added,imageurl
spotify:track:5kkxyqYSQrnHpfsmkjKi81,BROCKHAMPTON,iridescence,,,https://open.spotify.com/track/5kkxyqYSQrnHpfsmkjKi81,2018-09-22T18:15:38Z,https://lastfm-img2.akamaized.net/i/u/300x300/7398b011303786537859aa00a10cadb6.png
spotify:track:32toozxytWbTFZPBn1H2aZ,San Holo,album1,5,,https://open.spotify.com/track/32toozxytWbTFZPBn1H2aZ,2018-09-22T18:14:57Z,https://lastfm-img2.akamaized.net/i/u/300x300/c361e2998114ee0ce72b6c2ca349fa57.png
spotify:track:4SNLj3L86Vort1Widogsyh,Geographer,Animal Shapes,,,https://open.spotify.com/track/4SNLj3L86Vort1Widogsyh,2018-09-16T09:44:01Z,https://lastfm-img2.akamaized.net/i/u/300x300/9c2a104ec873636f2f4432b93d743a5e.png
spotify:track:6Y3BrDwCQrXuXalV61QXWR,Hoobastank,Push Pull,,,https://open.spotify.com/track/6Y3BrDwCQrXuXalV61QXWR,2018-09-08T18:45:53Z,https://lastfm-img2.akamaized.net/i/u/300x300/dd43ffd12453b021e1a00909736479f6.png
spotify:track:01z2fBGB8Hl3Jd3zXe4IXR,Mac Miller,Swimming,7,,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR,2018-09-07T23:31:24Z,https://lastfm-img2.akamaized.net/i/u/300x300/f082f1074b9450b8a83781175df8df03.png
spotify:track:1cqXa5zVzhrrIm7QyQD1as,Dua Lipa,Live Acoustic EP,7,,https://open.spotify.com/track/1cqXa5zVzhrrIm7QyQD1as,2018-09-07T18:22:57Z,https://lastfm-img2.akamaized.net/i/u/300x300/7a3980c8324ee22084dd65150babfa5a.png
spotify:track:2YrY6NOa7tpNCgOUnTloj5,Mac Ayres,Something to Feel,,,https://open.spotify.com/track/2YrY6NOa7tpNCgOUnTloj5,2018-09-07T18:18:16Z,https://lastfm-img2.akamaized.net/i/u/300x300/8e9c6193e37bc093bf844788f3de5686.png
spotify:track:3dimChb7ani66qO78naB9b,Campo,Tides,8,,https://open.spotify.com/track/3dimChb7ani66qO78naB9b,2018-09-05T18:48:57Z,https://lastfm-img2.akamaized.net/i/u/300x300/12e05e733ba6b871e579de2afbfd20bb.png
spotify:track:55kF6wx960ne5qCpBDzGEu,Campo,Fifty Seven,9,,https://open.spotify.com/track/55kF6wx960ne5qCpBDzGEu,2018-09-05T18:48:53Z,https://lastfm-img2.akamaized.net/i/u/300x300/a6388eb0450fc475afed3c32f7eb5002.png
spotify:track:2HnMhvOVA1FK8C61nMhJEj,Turnover,Good Nature,8,,https://open.spotify.com/track/2HnMhvOVA1FK8C61nMhJEj,2018-09-05T18:22:42Z,https://lastfm-img2.akamaized.net/i/u/300x300/8b2081dc35c7e536496f3ee2bbf251a1.png
