title,rating,link
Boggle,10,https://www.boardgamegeek.com/boardgame/1293/boggle
Bananagrams,10,https://www.boardgamegeek.com/boardgame/27225/bananagrams
Dominion,9,https://www.boardgamegeek.com/boardgame/36218/dominion
Scattergories,9,https://boardgamegeek.com/boardgame/2381/scattergories
Carcassonne,8,https://boardgamegeek.com/boardgame/822/carcassonne
Smallworld,8,https://www.boardgamegeek.com/boardgame/40692/small-world
Settlers of Catan,8,https://www.boardgamegeek.com/boardgame/13/catan
Secret Hitler,8,https://boardgamegeek.com/boardgame/188834/secret-hitler
Ticket to Ride,8,https://www.boardgamegeek.com/boardgame/9209/ticket-ride
Control,7,https://boardgamegeek.com/boardgame/192240/control
Taboo,7,https://boardgamegeek.com/boardgame/1111/taboo
Clue,4,https://boardgamegeek.com/boardgame/1294/clue
OrganATTACK!,3,https://boardgamegeek.com/boardgame/201406/organattack
Pandemic,?,https://www.boardgamegeek.com/boardgame/30549/pandemic
Go,?,https://boardgamegeek.com/boardgame/188/go
Loop Inc.,?,https://boardgamegeek.com/boardgame/163027/loop-inc
Expedition,?,https://boardgamegeek.com/boardgame/194298/expedition-roleplaying-card-game
