artist,day,rating,link
Radiolucent,Thursday,10,
Unlocking the Truth,Thursday,8,
Imam Baildi,Thursday,6,
Raury,Thursday,3,
Houndmouth,Thursday,6,
Tove Lo,Thursday,8,
Gramatic,Thursday,6,
Brownout,Friday,8,
Royal Blood,Friday,10,
Moon Taxi,Friday,6,
Guster,Friday,10,,
Ben Folds & Ymusic,Friday,8,
Ben Harper & The Innocent Criminals,Friday,9,
Earth Wind & Fire,Friday,10,
Deadmau5,Friday,3,
Odesza,Friday,7,
Songhoy Blues,Saturday,7,
Kevin Garrett,Saturday,9,
Rhiannon Giddens,Saturday,4,
Gary Clark Jr.,Saturday,8,
My Morning Jacket,Saturday,6,
Childish Gambino,Saturday,7,
Mumford & Sons,Saturday,10,
Bassnectar,Saturday,8,
Flume,Saturday,10,
Shakey Graves,Sunday,9,
Twenty One Pilots,Sunday,10,
Awolnation,Sunday,5,
Spoon,Sunday,7,
Brandi Carlile,Sunday,9,
Florence + The Machine,Sunday,10,
Billy Joel,Sunday,9,
